Average Speed-up: 98.96%
Average Speed-up Factor: 107.20x

Hydrograph H119: Ground Truth = 80.90s, AI Model = 1.30s, Speed-up = 98.39%, Speed-up Factor = 62.23x
Hydrograph H120: Ground Truth = 70.87s, AI Model = 1.04s, Speed-up = 98.53%, Speed-up Factor = 68.14x
Hydrograph H121: Ground Truth = 70.86s, AI Model = 1.30s, Speed-up = 98.17%, Speed-up Factor = 54.51x
Hydrograph H122: Ground Truth = 81.00s, AI Model = 1.29s, Speed-up = 98.41%, Speed-up Factor = 62.79x
Hydrograph H123: Ground Truth = 85.96s, AI Model = 0.85s, Speed-up = 99.01%, Speed-up Factor = 101.13x
Hydrograph H124: Ground Truth = 80.93s, AI Model = 1.17s, Speed-up = 98.55%, Speed-up Factor = 69.17x
Hydrograph H125: Ground Truth = 86.10s, AI Model = 0.96s, Speed-up = 98.89%, Speed-up Factor = 89.69x
Hydrograph H126: Ground Truth = 81.13s, AI Model = 1.40s, Speed-up = 98.27%, Speed-up Factor = 57.95x
Hydrograph H127: Ground Truth = 86.13s, AI Model = 1.30s, Speed-up = 98.49%, Speed-up Factor = 66.25x
Hydrograph H128: Ground Truth = 81.13s, AI Model = 0.85s, Speed-up = 98.95%, Speed-up Factor = 95.45x
Hydrograph H129: Ground Truth = 80.99s, AI Model = 1.27s, Speed-up = 98.43%, Speed-up Factor = 63.77x
Hydrograph H130: Ground Truth = 86.20s, AI Model = 1.05s, Speed-up = 98.78%, Speed-up Factor = 82.10x
Hydrograph H131: Ground Truth = 80.92s, AI Model = 0.97s, Speed-up = 98.80%, Speed-up Factor = 83.42x
Hydrograph H132: Ground Truth = 90.98s, AI Model = 1.28s, Speed-up = 98.59%, Speed-up Factor = 71.08x
Hydrograph H133: Ground Truth = 75.88s, AI Model = 0.85s, Speed-up = 98.88%, Speed-up Factor = 89.27x
Hydrograph H134: Ground Truth = 75.89s, AI Model = 1.06s, Speed-up = 98.60%, Speed-up Factor = 71.59x
Hydrograph H135: Ground Truth = 80.85s, AI Model = 0.83s, Speed-up = 98.97%, Speed-up Factor = 97.41x
Hydrograph H136: Ground Truth = 91.04s, AI Model = 1.29s, Speed-up = 98.58%, Speed-up Factor = 70.57x
Hydrograph H137: Ground Truth = 80.89s, AI Model = 1.04s, Speed-up = 98.71%, Speed-up Factor = 77.78x
Hydrograph H138: Ground Truth = 86.12s, AI Model = 1.30s, Speed-up = 98.49%, Speed-up Factor = 66.25x
Hydrograph H139: Ground Truth = 86.11s, AI Model = 1.48s, Speed-up = 98.28%, Speed-up Factor = 58.18x
Hydrograph H140: Ground Truth = 81.01s, AI Model = 0.65s, Speed-up = 99.20%, Speed-up Factor = 124.63x
Hydrograph H141: Ground Truth = 91.01s, AI Model = 1.07s, Speed-up = 98.82%, Speed-up Factor = 85.06x
